,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.33,53.44,77,100,8.05,NZ,1596085941
1,Kapaa,22.08,-159.32,80.6,69,20,17.22,US,1596085705
2,Bambous Virieux,-20.34,57.76,73.99,78,75,11.41,MU,1596085942
3,Te Anau,-45.42,167.72,51.03,82,100,2.06,NZ,1596085942
4,Mossamedes,-15.2,12.15,62.46,81,0,6.64,AO,1596085942
5,Nishihara,26.18,127.76,91.4,66,75,16.11,JP,1596085942
6,Ushuaia,-54.8,-68.3,37.4,69,20,11.41,AR,1596085943
7,Jamestown,42.1,-79.24,66.0,93,40,6.93,US,1596085943
8,Siusega,-13.84,-171.81,82.0,83,75,8.05,WS,1596085943
9,Rikitea,-23.12,-134.97,72.79,87,100,14.63,PF,1596085943
10,Marawi,8.0,124.29,84.99,78,95,11.01,PH,1596085943
11,Marystown,47.17,-55.15,55.92,93,99,15.5,CA,1596085944
12,Albany,42.6,-73.97,70.0,76,36,4.16,US,1596085944
13,Hobart,-42.88,147.33,57.99,41,20,14.99,AU,1596085769
14,Castro,-24.79,-50.01,48.07,97,100,9.57,BR,1596085945
15,New Norfolk,-42.78,147.06,57.99,65,72,7.0,AU,1596085945
16,Cape Town,-33.93,18.42,55.99,93,75,6.93,ZA,1596085937
17,Punta Arenas,-53.15,-70.92,33.01,87,81,9.17,CL,1596085685
18,Lumphat,13.49,106.98,88.72,66,89,5.48,KH,1596085946
19,Nikolskoye,59.7,30.79,64.0,77,2,6.71,RU,1596085946
20,Butaritari,3.07,172.79,82.83,74,59,12.1,KI,1596085947
21,Saint-Philippe,-21.36,55.77,73.99,68,75,5.82,RE,1596085947
22,Busselton,-33.65,115.33,64.0,73,97,1.01,AU,1596085947
23,Sola,-13.88,167.55,80.46,84,66,18.59,VU,1596085947
24,Alvand,36.32,49.17,61.27,81,82,6.87,IR,1596085948
25,Verkhoyansk,67.54,133.38,63.3,41,0,11.05,RU,1596085948
26,Faya,18.39,42.45,69.8,64,100,5.82,SA,1596085948
27,Port Alfred,-33.59,26.89,59.05,69,9,22.03,ZA,1596085948
28,Lompoc,34.64,-120.46,59.0,87,20,5.82,US,1596085924
29,Tevriz,57.51,72.4,65.93,47,41,3.98,RU,1596085949
30,Mataura,-46.19,168.86,52.38,80,100,2.35,NZ,1596085949
31,Saint George,37.1,-113.58,89.6,8,1,4.7,US,1596085949
32,Hilo,19.73,-155.09,80.6,69,90,10.29,US,1596085790
33,Bereda,43.27,-7.54,64.0,100,27,1.99,ES,1596085950
34,Khatanga,71.97,102.5,68.9,50,89,12.55,RU,1596085950
35,Dikson,73.51,80.55,50.49,77,28,2.91,RU,1596085950
36,Forsytheganj,52.63,29.73,62.08,88,3,7.11,BY,1596085950
37,Tecolutla,20.48,-97.02,81.32,84,100,10.58,MX,1596085950
38,Sitka,57.05,-135.33,68.0,64,1,1.1,US,1596085951
39,Rock Sound,24.9,-76.2,83.52,79,28,16.26,BS,1596085951
40,Tiksi,71.69,128.87,42.8,78,81,8.72,RU,1596085951
41,Longyearbyen,78.22,15.64,53.6,76,12,1.12,SJ,1596085951
42,Vaini,-21.2,-175.2,68.0,88,75,10.29,TO,1596085952
43,Manosque,43.83,5.79,66.99,84,0,3.36,FR,1596085952
44,Esperance,-33.87,121.9,68.0,52,0,19.46,AU,1596085863
45,Cherskiy,68.75,161.3,49.95,60,25,19.55,RU,1596085953
46,Wheeling,42.14,-87.93,75.2,73,40,5.7,US,1596085683
47,Homer,59.64,-151.55,66.2,59,1,5.82,US,1596085953
48,Chokurdakh,70.63,147.92,56.05,49,65,9.95,RU,1596085953
49,Valentín Gómez Farías,28.22,-106.58,84.0,37,23,1.99,MX,1596085953
50,Tanabe,33.73,135.37,86.0,74,20,8.05,JP,1596085954
51,Korla,41.76,86.15,84.88,19,57,8.08,CN,1596085954
52,Mayumba,-3.43,10.66,72.0,79,96,5.01,GA,1596085954
53,Kinablangan,7.69,126.55,85.08,70,100,9.37,PH,1596085954
54,Sahuaripa,29.05,-109.23,82.69,78,65,4.43,MX,1596085955
55,Hermanus,-34.42,19.23,55.0,92,45,7.58,ZA,1596085955
56,Sorong,-0.88,131.25,85.06,73,47,5.91,ID,1596085955
57,Yellowknife,62.46,-114.35,60.8,82,75,6.93,CA,1596085955
58,Lucapa,-8.42,20.74,57.79,38,0,2.91,AO,1596085956
59,Nacala,-14.54,40.67,70.16,80,3,10.56,MZ,1596085956
